cpe,rows,Descrição,Estado,Comercializador,CPE,Morada do Local de Consumo,Data de Inicio do Contrato,Data de Fim do Contrato,Tipo de Instalação,Potência Contratada,Potência Certificada,Potência Máxima Admissível/Requisitada,Nome,NIF,Morada de Correspondência,Email,Telefone,Telemóvel,consumos,abastecimento
PT0002000065171113YH,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065171113YH,Castelo S Jorge 75 -- Ilumin 1100 Lisboa,2009-07-13,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000083774745LP,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000083774745LP,Trav Convento Bernardas 8 -- Museu 1200-638 Lisboa,2009-07-13,-,Trifásica,50.00 kVA,103.50 kVA,103.50 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000070983625TQ,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000070983625TQ,Costa Castelo 75 / Teatro 1100-178 Lisboa,2009-07-13,-,Trifásica,41.41 kVA,150.00 kVA,150.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065171102YF,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065171102YF,Castelo S Jorge 75 Ilumin 1100 Lisboa,2009-07-13,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000075406578TT,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000075406578TT,Larg Chafariz Dentro 1 -- A 1100-139 Lisboa,2009-07-13,-,Trifásica,49.00 kVA,66.00 kVA,66.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065171135FV,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065171135FV,Castelo S Jorge 9004 -- Alcace 1100 Lisboa,2009-07-29,-,Trifásica,46.00 kVA,264.00 kVA,264.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000066087734TC,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000066087734TC,Rua Coelho Rocha 16 ++  Cfp 1250-088 Lisboa,2013-01-13,-,Trifásica,76.00 kVA,198.00 kVA,198.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065185678LR,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065185678LR,Av Liberdade 175 -- 1250-141 Lisboa,2015-01-09,-,Trifásica,160.00 kVA,630.00 kVA,400.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,MT
PT0002000103112789SC,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000103112789SC,Larg Picadeiro 9000 Pt5064 1200-330 Lisboa,2015-01-09,-,Trifásica,315.00 kVA,"2,500.00 kVA","2,500.00 kVA",Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,MT
PT0002000065180535WX,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065180535WX,Av Frei Miguel Contreiras 52 ++ A 1749-086 Lisboa,2015-01-09,-,Trifásica,146.48 kVA,315.00 kVA,315.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,MT
PT0002000065181879ZC,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065181879ZC,Av Brasilia 9017 -- Monume 1400-038 Lisboa,2015-01-09,-,Trifásica,81.00 kVA,345.00 kVA,345.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065171124FY,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065171124FY,Castelo S Jorge 9003 -- Restau 1100 Lisboa,2015-01-09,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000038740856ZG,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000038740856ZG,Rua Vale 7 1200-472 Lisboa,2015-10-24,-,Trifásica,41.41 kVA,49.68 kVA,49.68 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000085043515YY,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000085043515YY,Av India 170 ++ Museu 1300-299 Lisboa,2015-10-24,-,Trifásica,41.41 kVA,47.00 kVA,47.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000124524796RQ,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000124524796RQ,Beco Mitra 9001 Obras 1950-204 Lisboa,2017-11-21,-,Trifásica,65.00 kVA,49.50 kVA,49.50 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065176041ZR,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065176041ZR,Rua Direita Palma Baixo 9001 -- Banco 1600-056 Lisboa,2018-08-12,-,Trifásica,581.25 kVA,"1,250.00 kVA","1,250.00 kVA",Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,MT
PT0002000083200947AZ,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000083200947AZ,Rua Ramalho Ortigao 9010 -- 1070-230 Lisboa,2018-08-13,-,Trifásica,585.90 kVA,"1,260.00 kVA","1,260.00 kVA",Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,MT
PT0002000065170303VJ,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065170303VJ,Camp Grande 9002 -- Palaci 1700-090 Lisboa,2018-08-21,-,Trifásica,52.00 kVA,138.00 kVA,138.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000074034645NV,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000074034645NV,Rua Augusto Rosa 42 1100-058 Lisboa,2018-08-21,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
PT0002000065170314HR,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000065170314HR,Camp Grande 9003 -- Museu 1700-094 Lisboa,2018-08-21,-,Trifásica,41.41 kVA,132.00 kVA,132.00 kVA,Egeac Empresa Gestao Equip E Animacao ,PT503584215,Av Liberdade 192 1250-147 Lisboa ,antoniomachado@egeac.pt,215830010,917248686,True,BTE
